SAMPLE NAME,Sampled Distance,Equivalent RL4_06 Distance,Age MARCH 2018,d13C,d18O
RL4 1348,46.5,50.55,2.93,-8.02,-4.27
RL4 1349,46.7,50.70,2.94,-7.52,-4.05
RL4 1350,46.9,50.85,2.94,-7.07,-3.99
RL4 1351,47.1,50.99,2.95,-7.37,-4.05
RL4 1352,47.3,51.14,2.95,-7.40,-4.20
RL4 1353,47.5,51.28,2.96,-7.18,-4.00
RL4 1354,47.7,51.43,2.96,-7.43,-4.15
RL4 1355,47.9,51.58,2.97,-7.60,-4.38
RL4 1356,48.1,51.72,2.97,-7.42,-4.19
RL4 1357,48.3,51.87,2.97,-7.63,-4.15
RL4 1358,48.5,52.02,2.98,-7.49,-4.04
RL4 1359,48.7,52.16,2.98,-7.50,-4.06
RL4 1360,48.9,52.31,2.99,-7.74,-4.08
RL4 1361,49.1,52.45,2.99,-7.51,-3.98
RL4 1362,49.3,52.60,3.00,-7.37,-3.99
RL4 1363,49.5,52.75,3.00,-8.15,-4.30
RL4 1364,49.7,52.89,3.00,-8.58,-4.33
RL4 1365,49.9,53.04,3.01,-8.71,-4.06
RL4 1366,50.1,53.18,3.01,-8.05,-4.14
RL4 1367,50.3,53.33,3.02,-7.91,-3.80
RL4 1368,50.5,53.48,3.02,-8.03,-3.86
RL4 1369,50.7,53.62,3.03,-7.28,-3.56
RL4 1370,50.9,53.77,3.03,-7.33,-3.83
RL4 1371,51.1,53.92,3.04,-7.24,-4.12
RL4 1372,51.3,54.06,3.04,-7.35,-4.08
RL4 1373,51.5,54.21,3.05,-8.08,-4.44
RL4 1374,51.7,54.35,3.05,-7.74,-4.35
RL4 1375,51.9,54.50,3.06,-7.83,-4.45
RL4 1376,52.1,54.62,3.06,-7.80,-4.02
RL4 1377,52.3,54.73,3.07,-7.53,-3.63
RL4 1378,52.5,54.85,3.07,-7.58,-3.64
RL4 1379,52.7,54.96,3.08,-6.88,-3.53
RL4 1380,52.9,55.08,3.08,-7.45,-3.63
RL4 1381,53.1,55.19,3.09,-7.59,-3.95
RL4 1382,53.3,55.31,3.09,-7.68,-3.91
RL4 1383,53.5,55.42,3.10,-7.68,-3.66
RL4 1384,53.7,55.54,3.10,-8.18,-4.03
RL4 1385,53.9,55.65,3.11,-7.95,-3.99
RL4 1386,54.1,55.77,3.11,-7.99,-3.77
RL4 1387,54.3,55.88,3.12,-6.94,-3.80
RL4 1388,54.5,56.00,3.12,-7.27,-4.11
RL4 1389,54.7,56.20,3.13,-7.85,-4.20
RL4 1390,54.9,56.39,3.13,-8.64,-4.62
RL4 1391,55.1,56.59,3.14,-8.06,-4.48
RL4 1392,55.3,56.79,3.15,-7.03,-3.90
RL4 1393,55.5,56.98,3.15,-6.87,-3.96
RL4 1394,55.7,57.18,3.16,-6.77,-3.81
RL4 1395,55.9,57.38,3.17,-6.94,-4.00
RL4 1396,56.1,57.57,3.17,-7.23,-4.18
RL4 1397,56.3,57.77,3.18,-7.45,-3.78
RL4 1398,56.5,57.97,3.18,-7.41,-4.28
RL4 1399,56.7,58.16,3.19,-7.80,-4.12
RL4 1400,56.9,58.36,3.19,-8.22,-4.50
RL4 1401,57.1,58.56,3.20,-8.03,-4.38
RL4 1402,57.3,58.75,3.20,-7.84,-4.66
RL4 1403,57.5,58.95,3.21,-7.41,-4.74
RL4 1404,57.7,59.15,3.21,-7.59,-4.24
RL4 1405,57.9,59.35,3.21,-7.21,-4.19
RL4 1406,58.1,59.54,3.22,-7.25,-4.27
RL4 1407,58.3,59.74,3.22,-7.42,-4.28
RL4 1408,58.5,59.94,3.23,-7.25,-4.15
RL4 1409,58.7,60.13,3.23,-7.28,-4.24
RL4 1410,58.9,60.33,3.23,-7.12,-4.45
RL4 1411,59.1,60.53,3.24,-7.36,-4.37
RL4 1412,59.3,60.72,3.24,-7.18,-4.06
RL4 1413,59.5,60.92,3.25,-7.03,-3.80
RL4 1414,59.7,61.12,3.25,-7.84,-4.52
RL4 1415,59.9,61.31,3.25,-7.77,-3.85
RL4 1416,60.1,61.51,3.26,-8.09,-4.57
RL4 1417,60.3,61.71,3.26,-7.90,-4.26
RL4 1418,60.5,61.90,3.27,-8.09,-4.30
RL4 1419,60.7,62.10,3.27,-7.93,-4.19
RL4 1420,60.9,62.31,3.27,-7.99,-4.17
RL4 1421,61.1,62.52,3.28,-8.52,-4.20
RL4 1422,61.3,62.73,3.28,-8.26,-4.44
RL4 1423,61.5,62.94,3.29,-7.34,-4.41
RL4 1424,61.7,63.15,3.29,-7.94,-4.52
RL4 1425,61.9,63.36,3.30,-7.66,-4.03
RL4 1426,62.1,63.57,3.30,-7.04,-3.91
RL4 1427,62.3,63.79,3.30,-6.87,-3.78
RL4 1428,62.5,64.00,3.31,-6.71,-3.81
RL4 1429,62.7,64.21,3.31,-7.27,-4.42
RL4 1430,62.9,64.42,3.32,-7.99,-4.30
RL4 1431,63.1,64.63,3.32,-6.96,-3.87
RL4 1432,63.3,64.84,3.33,-7.09,-4.28
RL4 1433,63.5,65.05,3.33,-8.32,-4.62
RL4 1434,63.7,65.26,3.34,-9.04,-4.95
RL4 1435,63.9,65.47,3.34,-8.56,-4.82
RL4 1436,64.1,65.68,3.35,-8.10,-4.06
RL4 1437,64.3,65.89,3.35,-7.45,-4.42
RL4 1438,64.5,66.10,3.36,-7.58,-4.18
RL4 1439,64.7,66.31,3.36,-7.60,-4.87
RL4 1440,64.9,66.52,3.36,-8.11,-4.80
RL4 1441,65.1,66.73,3.37,-8.36,-4.74
RL4 1442,65.3,66.94,3.37,-7.95,-4.39
RL4 1443,65.5,67.16,3.37,-7.60,-4.47
RL4 1444,65.7,67.37,3.38,-7.93,-4.81
RL4 1445,65.9,67.58,3.38,-8.46,-4.99
RL4 1446,66.1,67.79,3.38,-8.11,-4.02
RL4 1447,66.3,68.00,3.39,-6.78,-3.79
RL4 1448,66.5,68.21,3.39,-8.20,-4.34
RL4 1449,66.7,68.42,3.40,-7.68,-3.81
RL4 1450,66.9,68.63,3.40,-8.42,-4.04
RL4 1451,67.1,68.84,3.41,-7.90,-4.00
RL4 1452,67.3,69.05,3.41,-8.18,-3.95
RL4 1453,67.5,69.26,3.42,-8.61,-4.16
RL4 1454,67.7,69.47,3.42,-8.69,-4.28
RL4 1455,67.9,69.68,3.43,-7.96,-4.12
RL4 1456,68.1,69.89,3.43,-7.26,-3.67
RL4 1457,68.3,70.10,3.43,-6.69,-3.75
RL4 1458,68.5,70.31,3.44,-6.86,-4.10
RL4 1459,68.7,70.53,3.44,-7.59,-4.33
RL4 1460,68.9,70.74,3.45,-6.87,-4.04
RL4 1461,69.1,70.95,3.45,-7.23,-3.94
RL4 1462,69.3,71.16,3.46,-8.12,-4.44
RL4 1463,69.5,71.37,3.46,-7.67,-4.28
RL4 1464,69.7,71.58,3.47,-8.03,-4.24
RL4 1465,69.9,71.79,3.47,-7.77,-4.05
RL4 1466,70.1,72.00,3.48,-8.04,-4.07
RL4 1467,70.3,72.21,3.48,-8.49,-3.97
RL4 1468,70.5,72.43,3.49,-8.33,-4.18
RL4 1469,70.7,72.64,3.49,-8.30,-4.51
RL4 1470,70.9,72.86,3.50,-7.83,-4.23
RL4 1471,71.1,73.07,3.50,-7.99,-4.31
RL4 1472,71.3,73.29,3.51,-7.94,-4.61
RL4 1473,71.5,73.50,3.51,-8.34,-4.91
RL4 1474,71.7,73.71,3.52,-7.44,-4.11
RL4 1475,71.9,73.93,3.52,-7.58,-4.45
RL4 1476,72.1,74.14,3.53,-8.03,-4.79
RL4 1477,72.3,74.36,3.53,-7.97,-4.77
RL4 1478,72.5,74.57,3.54,-7.52,-4.27
RL4 1479,72.7,74.79,3.54,-7.09,-4.14
RL4 1480,72.9,75.00,3.55,-7.93,-4.05
RL4 1481,73.1,75.21,3.55,-8.66,-4.11
RL4 1482,73.3,75.43,3.56,-8.08,-4.12
RL4 1483,73.5,75.64,3.56,-7.53,-4.32
RL4 1484,73.7,75.86,3.57,-7.53,-4.53
RL4 1485,73.9,76.07,3.57,-7.60,-4.48
RL4 1486,74.1,76.29,3.58,-7.84,-4.55
RL4 1487,74.3,76.50,3.58,-7.95,-4.19
RL4 1488,74.5,76.71,3.58,-8.09,-3.95
RL4 1489,74.7,76.93,3.58,-7.60,-3.83
RL4 1490,74.9,77.14,3.59,-7.87,-4.46
RL4 1491,75.1,77.36,3.59,-8.00,-4.44
RL4 1492,75.3,77.57,3.59,-8.36,-4.43
RL4 1493,75.5,77.79,3.60,-8.42,-4.64
RL4 1494,75.7,78.00,3.60,-8.42,-4.61
RL4 1495,75.9,78.31,3.60,-8.61,-4.58
RL4 1496,76.1,78.62,3.60,-8.48,-4.67
RL4 1497,76.3,78.92,3.60,-8.54,-4.59
RL4 1498,76.5,79.23,3.61,-8.46,-4.43
RL4 1499,76.7,79.54,3.61,-8.32,-4.32
RL4 1500,76.9,79.85,3.61,-8.24,-4.19
RL4 1501,77.1,80.16,3.61,-8.66,-4.23
RL4 1502,77.3,80.46,3.61,-8.70,-4.42
RL4 1503,77.5,80.77,3.61,-7.19,-4.05
RL4 1504,77.7,81.08,3.61,-6.75,-3.98
RL4 1505,77.9,81.39,3.62,-7.98,-4.04
RL4 1506,78.1,81.70,3.62,-7.74,-3.93
RL4 1507,78.3,82.00,3.62,-7.35,-3.97
RL4 1508,78.5,82.31,3.62,-7.21,-3.90
RL4 1509,78.7,82.62,3.62,-7.33,-4.06
RL4 1510,78.9,82.93,3.62,-7.14,-4.05
RL4 1511,79.1,83.24,3.63,-7.58,-4.26
RL4 1512,79.3,83.54,3.63,-7.43,-4.05
RL4 1513,79.5,83.85,3.63,-7.10,-4.11
RL4 1514,79.7,84.16,3.63,-6.79,-4.10
RL4 1515,79.9,84.47,3.64,-7.67,-4.74
RL4 1516,80.1,84.78,3.64,-8.31,-4.79
RL4 1517,80.3,85.08,3.64,-8.72,-4.83
RL4 1518,80.5,85.39,3.65,-8.23,-4.57
RL4 1519,80.7,85.70,3.65,-7.58,-4.36
RL4 1520,80.9,85.86,3.66,-8.34,-4.66
RL4 1521,81.1,86.02,3.66,-8.01,-4.70
RL4 1522,81.3,86.18,3.67,-8.35,-4.65
RL4 1523,81.5,86.34,3.67,-7.15,-4.21
RL4 1524,81.7,86.50,3.68,-7.30,-4.07
RL4 1525,81.9,86.66,3.68,-7.89,-4.32
RL4 1526,82.1,86.82,3.69,-7.83,-4.44
RL4 1527,82.3,86.98,3.69,-7.97,-4.41
RL4 1528,82.5,87.15,3.70,-7.93,-4.58
RL4 1529,82.7,87.31,3.70,-7.70,-4.46
RL4 1530,82.9,87.47,3.71,-7.36,-4.36
RL4 1531,83.1,87.63,3.72,-7.51,-4.43
RL4 1532,83.3,87.79,3.72,-7.59,-4.28
RL4 1533,83.5,87.95,3.73,-7.52,-4.18
RL4 1534,83.7,88.11,3.73,-7.66,-4.50
RL4 1535,83.9,88.27,3.74,-7.66,-4.56
RL4 1536,84.1,88.43,3.75,-7.55,-4.27
RL4 1537,84.3,88.59,3.75,-7.18,-4.01
RL4 1538,84.5,88.75,3.76,-7.50,-3.99
RL4 1539,84.7,88.91,3.76,-8.28,-4.24
RL4 1540,84.9,89.07,3.77,-8.37,-4.45
RL4 1541,85.1,89.23,3.77,-8.06,-4.35
RL4 1542,85.3,89.39,3.78,-7.91,-4.53
RL4 1543,85.5,89.55,3.78,-7.73,-4.23
RL4 1544,85.7,89.71,3.79,-7.36,-4.24
RL4 1545,85.9,89.88,3.79,-7.05,-4.11
RL4 1546,86.1,90.04,3.80,-7.59,-4.26
RL4 1547,86.3,90.20,3.80,-8.06,-4.61
RL4 1700,86.5,90.36,3.80,-7.36,-4.13
RL4 1701,86.7,90.52,3.81,-7.33,-4.48
RL4 1702,86.9,90.68,3.81,-7.53,-4.04
RL4 1703,87.1,90.84,3.82,-7.76,-4.31
RL4 1704,87.3,91.00,3.82,-7.93,-4.56
RL4 1705,87.5,91.30,3.83,-7.80,-4.29
RL4 1706,87.7,91.59,3.84,-7.69,-4.21
RL4 1707,87.9,91.89,3.85,-7.40,-4.08
RL4 1708,88.1,92.18,3.86,-7.21,-4.22
RL4 1709,88.3,92.48,3.87,-7.08,-4.45
RL4 1710,88.5,92.77,3.87,-7.09,-4.04
RL4 1711,88.7,93.07,3.88,-6.48,-3.83
RL4 1712,88.9,93.36,3.89,-6.18,-3.65
RL4 1713,89.1,93.66,3.90,-5.65,-3.46
RL4 1714,89.3,93.95,3.91,-5.46,-3.48
RL4 1715,89.5,94.25,3.92,-5.40,-3.48
RL4 1716,89.7,94.54,3.93,-5.21,-3.65
RL4 1717,89.9,94.84,3.93,-5.06,-3.66
RL4 1718,90.1,95.14,3.94,-5.38,-3.80
RL4 1719,90.3,95.43,3.95,-5.52,-3.83
RL4 1720,90.5,95.73,3.96,-5.68,-3.83
RL4 1721,90.7,96.02,3.97,-5.83,-4.01
RL4 1722,90.9,96.32,3.98,-6.14,-4.00
RL4 1723,91.1,96.61,3.99,-6.20,-3.94
RL4 1724,91.3,96.91,3.99,-6.08,-3.96
RL4 1725,91.5,97.20,4.00,-5.88,-3.92
RL4 1726,91.7,97.50,4.01,-5.54,-3.72
RL4 1727,91.9,97.84,4.02,-5.52,-3.64
RL4 1728,92.1,98.17,4.03,-5.58,-3.63
RL4 1729,92.3,98.51,4.04,-5.90,-3.65
RL4 1730,92.5,98.84,4.05,-6.21,-3.90
RL4 1731,92.7,99.18,4.06,-6.14,-3.79
RL4 1732,92.9,99.51,4.07,-6.06,-3.75
RL4 1733,93.1,99.85,4.08,-6.81,-4.32
RL4 1734,93.3,100.19,4.09,-7.66,-4.14
RL4 1735,93.5,100.52,4.10,-7.21,-3.89
RL4 1736,93.7,100.86,4.11,-6.23,-3.74
RL4 1737,93.9,101.19,4.12,-6.09,-3.95
RL4 1738,94.1,101.53,4.13,-7.07,-4.27
RL4 1739,94.3,101.86,4.15,-8.20,-4.75
RL4 1740,94.5,102.20,4.16,-7.90,-4.36
RL4 1741,94.7,102.41,4.17,-7.23,-3.88
RL4 1742,94.9,102.61,4.18,-7.45,-4.13
RL4 1743,95.1,102.82,4.18,-7.75,-4.24
RL4 1744,95.3,103.03,4.19,-7.73,-3.98
RL4 1745,95.5,103.23,4.20,-7.62,-4.41
